Fund ID,Fund Name,Asset Class,Assets,Date Started
17705,BMO Money Market Fund ,Canadian Money Market,525.6,1988-05-01
88977,BMO Money Market Fund Series M (formerly BMO Money Market Premium Series) ,Canadian Money Market,525.6,2012-04-01
17695,BMO Bond Fund ,Canadian Fixed Income,349.6,1988-05-01
63123,BMO Diversified Income Portfolio ,Global Neutral Balanced,586.5,2006-06-01
93718,BMO Diversified Income Portfolio Series R ,Global Neutral Balanced,586.5,2013-03-01
93741,BMO Diversified Income Portfolio Series T6 ,Global Neutral Balanced,586.5,2013-04-01
94534,BMO Emerging Markets Bond Fund ,Emerging Markets Fixed Income,330.4,2013-08-01
93744,"BMO Floating Rate Income Fund (as of Jun 25, 2021)",Floating Rate Loan,14.7,2013-04-01
59597,BMO Global Monthly Income Fund ,Global Equity Balanced,61.5,2004-10-01
93719,BMO Global Monthly Income Fund Series R ,Global Equity Balanced,61.5,2013-03-01
93742,BMO Global Monthly Income Fund Series T6 ,Global Equity Balanced,61.5,2013-04-01
53879,BMO Global Strategic Bond Fund ,High Yield Fixed Income,280.3,2000-11-01
93743,BMO Monthly High Income Fund II ,Canadian Dividend & Income Equity,782.6,2013-04-01
51967,BMO Monthly Income Fund ,Canadian Neutral Balanced,4872.8,1999-03-01
93716,BMO Monthly Income series R ,Canadian Neutral Balanced,4872.8,2013-03-01
93739,BMO Monthly Income Fund Series T6 ,Canadian Neutral Balanced,4872.8,2013-04-01
17706,BMO Mortgage & Short-Term Income Fund ,Canadian Short Term Fixed Income,274.4,1974-07-01
94532,BMO Preferred Share Fund ,Preferred Share Fixed Income,641.3,2013-08-01
69068,BMO U.S. High Yield Bond Fund ,High Yield Fixed Income,930.5,2008-06-01
17703,BMO World Bond Fund ,Global Fixed Income,211.2,1993-08-01
29177,BMO Core Bond Fund ,Canadian Fixed Income,2016.6,2014-11-01
29181,BMO Core Plus Bond Fund ,Canadian Fixed Income,3787.8,2014-11-01
31171,BMO US Dollar Monthly Income Fund (CAD$) ,Global Neutral Balanced,407.3,2015-04-01
31179,BMO Tactical Global Bond ETF Fund ,Global Fixed Income,18.9,2015-04-01
40133,BMO Concentrated Global Balanced Fund Series T6 ,Global Neutral Balanced,442.7,2016-08-01
40132,BMO Concentrated Global Balanced Fund Series A ,Global Neutral Balanced,442.7,2016-08-01
40131,BMO Global Growth & Income Fund Series A ,Global Equity,20.8,2016-08-01
49364,BMO Global Multi-Sector Bond Fund ,Global Fixed Income,127.6,2018-05-01
49369,BMO Crossover Bond Fund ,Global Fixed Income,387.6,2018-05-01
88978,BMO Asian Growth & Income Fund Series A ,Asia Pacific ex-Japan Equity,481.3,2012-04-01
17694,BMO Asset Allocation Fund ,Canadian Neutral Balanced,1724.0,1988-05-01
59593,BMO Canadian Equity Class ,Canadian Equity,37.6,2004-10-01
17698,BMO Canadian Equity ETF Fund ,Canadian Equity,426.8,1988-05-01
17701,BMO Canadian Equity Fund - A ,Canadian Equity,2293.5,1993-08-01
91645,BMO Canadian Large Cap Equity Fund ,Canadian Equity,431.1,2012-07-01
97755,BMO Canadian Stock Selection Fund ,Canadian Equity,172.0,2014-04-01
59594,BMO Dividend Class ,Canadian Dividend & Income Equity,255.5,2004-10-01
17696,BMO Dividend Fund ,Canadian Dividend & Income Equity,7230.5,1994-10-01
17699,BMO European Fund ,European Equity,1449.5,1994-10-01
53878,BMO Global Dividend Class ,Global Equity,133.4,2000-11-01
27534,BMO Global Dividend Fund ,Global Equity,278.7,1997-01-01
53884,BMO Global Equity Class ,Global Equity,125.5,2003-11-01
63122,BMO Global Infrastructure Fund ,Global Infrastructure Equity,111.9,2006-06-01
75939,BMO Global Low Volatility ETF Class ,Tactical Balanced,106.4,2010-05-01
